,0
1866,"[5/17/20, 2:04:59 AM] Joe: Taaaaaaaardeeeee
"
1867,"[5/17/20, 2:06:51 AM] Joe: Mmmm looks good. I love coffee haha. Hawaii has hella good coffee. That Kona coffee 😂
"
1868,"[5/17/20, 2:24:39 AM] Joe: I’m laying in bed listening to music 🎶
"
1869,"[5/17/20, 2:26:23 AM] Joe: Haha what? You trying to play something?
"
1870,"[5/17/20, 2:33:38 AM] Joe: Aw whaaat? Nah we can play haha. I can lay in bed and play at the same time 😂
"
1871,"‎[5/17/20, 2:45:56 AM] Joe: ‎GIF omitted
"
1872,"[5/17/20, 2:49:44 AM] Joe: Aaah Ok.  Sooo do we play then? I’m feeling lucky. Going to win all the matches
"
1873,"[5/17/20, 3:42:17 AM] Joe: Hahahahaha
"
1874,"[5/17/20, 3:43:07 AM] Joe: Now I’m watching about analysis paralysis again 😂
"
1875,"[5/17/20, 3:43:39 AM] Joe: 😮
"
1876,"[5/17/20, 3:45:19 AM] Joe: You get an A+ for that lesson. I don’t even need the audio hahaha
"
1877,"[5/17/20, 3:45:58 AM] Joe: But I’ll take it if you want to send it 😆
"
1878,"[5/17/20, 3:48:36 AM] Joe: Sounded verrrrry good hahaha
"
1879,"[5/17/20, 3:50:03 AM] Joe: Much better than when I say it in spanish. Shit, it sounds better coming from you in English than me in English 😂
"
1880,"[5/17/20, 3:52:42 AM] Joe: Pfffff
"
1881,"[5/17/20, 3:54:22 AM] Joe: I’m just shy hahaha It’s not a phrase I would use often 😂 
"
1882,"[5/17/20, 3:56:20 AM] Joe: Haha that probably sounds weird. But I just mean you sound good when you say it
"
1883,"[5/17/20, 3:57:59 AM] Joe: Haha sorry, I wasn’t trying to imply that you do
"
1884,"‎[5/17/20, 4:04:57 AM] Joe: ‎image omitted
"
1885,"[5/17/20, 4:10:10 AM] Joe: Haha dude you have no idea how bad the US has been with all this do you?
"
1886,"[5/17/20, 4:12:17 AM] Joe: We basically fucked the whole response and it’s been like this for most of the time with people not listening. But in different places across the country at different times.
"
1887,"[5/17/20, 4:12:23 AM] Joe: Then we have weird enforcement where police will patrol poor neighborhoods and keep them on a much more serious lockdown than the rich neighborhoods
"
1888,"[5/17/20, 4:14:03 AM] Joe: It’s the worst. Especially in places like New York
"
1889,"[5/17/20, 4:15:12 AM] Joe: Yeah but the police let the rich gather in their parks and literally beat and arrest the poor for being outside in their neighborhoods
"
1890,"[5/17/20, 4:16:21 AM] Joe: It’s so weird to see a video of cops assaulting someone for being outside without a mask...instead of maybe just giving them a mask
"
1891,"[5/17/20, 4:16:47 AM] Joe: It doesn’t make sense cause now there are a bunch of cops touching this person to arrest them
"
1892,"[5/17/20, 4:17:10 AM] Joe: They should be distancing themselves not touching people. Shits crazy
"
1893,"[5/17/20, 4:17:38 AM] Joe: True
"
1894,"[5/17/20, 4:20:20 AM] Joe: Hahaha
"
1895,"[5/17/20, 4:21:16 AM] Joe: Yeah that’s what made one of the videos of a cop arresting someone for not having a mask so ridiculous. A few of the officers were wearing there mask like that haha
"
1896,"[5/17/20, 4:23:01 AM] Joe: It’s impossible to get 100% of the humans to believe it all and to actively participate in keeping everyone safe. Some people just don’t trust sources of authority telling them what to do
"
1897,"[5/17/20, 4:27:33 AM] Joe: Yeah the more we have stuff like that picture, the longer it will take to go to normal
"
1898,"[5/17/20, 4:28:42 AM] Joe: Hopefully there are more people doing the right thing than the wrong thing. Around here most wear their mask and keep their distance. Beaches are mostly empty but I think they are starting to open them this week.
"
1899,"[5/17/20, 4:29:32 AM] Joe: Oh and tell me what you thought about the video. I watched it again hahaha I forgot how old that video is
"
1900,"[5/17/20, 4:34:10 AM] Joe: Yeah it seems a little weirder being in a bigger city. It’ll be an adjustment going back to California. There are a lot of people in the Bay Area.
"
1901,"[5/17/20, 4:35:30 AM] Joe: Hahaha yeah I especially liked the medicine story. Doctors giving the patients the choice even though the doctor has the knowledge and the way medications are marketed
"
1902,"[5/17/20, 4:37:30 AM] Joe: I don’t know....and I only have 3 weeks to find out. I might have a friend I can stay with if I can’t find anything.
"
1903,"[5/17/20, 4:39:59 AM] Joe: 🤔 when I pick something I do a lot of research if it’s an expensive item. 
"
1904,"[5/17/20, 4:41:37 AM] Joe: Usually I just get the same thing every time once I find something I like. Then I don’t have to choose
"
1905,"[5/17/20, 4:49:08 AM] Joe: Haha yeah I’m going to bed soon. But um...just deciding what to do with my life hahaha
"
1906,"[5/17/20, 4:49:51 AM] Joe: Like my decision where to live, who to be, what things do I want to be able to say I’ve done when my life is over. The hard stuff haha
"
1907,"‎[5/17/20, 4:53:35 AM] Joe: ‎GIF omitted
"
1908,"[5/17/20, 4:55:53 AM] Joe: Hahaha yeah we are 😂 
"
1909,"‎[5/17/20, 10:13:03 AM] Joe: ‎video omitted
"
1910,"[5/17/20, 11:26:28 AM] Joe: 😂 I tried to send that like an hour ago but it never sent. But now I’m up!!
"
1911,"[5/17/20, 11:26:50 AM] Joe: I wanted to send you this link so you can see how stupid Americans are in real time hahah
"
1912,"‎[5/17/20, 11:36:28 AM] Joe: ‎GIF omitted
"
1913,"[5/17/20, 12:03:07 PM] Joe: Aaaaah I have to get out of this bed!
"
1914,"[5/17/20, 12:03:29 PM] Joe: How was your day? Did you get to do anything today?
"
1915,"[5/17/20, 1:51:01 PM] Joe: No problem. I was out too, getting some sun
"
1916,"[5/17/20, 1:55:10 PM] Joe: Haha with the scissors still in hand. Did you find those and cut them?
"
1917,"[5/17/20, 1:56:43 PM] Joe: Haha I’m going to have to listen to that a bunch of times to get the whole thing but don’t translate it. I’ll use it to practice haha
"
1918,"[5/17/20, 2:05:10 PM] Joe: Hahaha so I got the part about your friend and the nickname 😂 and that you went to see your friend and went for a long walk with the dog. The dog is super good? Haha
"
1919,"[5/17/20, 2:07:00 PM] Joe: And you are getting a lot of flowers in nature because there are no gardeners hahah. Very nice.
"
1920,"[5/17/20, 2:08:35 PM] Joe: Sweet. There are still a bunch of words I miss or don’t understand but I can get barely enough to make a story in my head about what you say 😂
"
1921,"[5/17/20, 3:10:50 PM] Joe: Yeah that’ll be good. Enjoy dinner. I’m waiting for “Lahaina noon” where the sun is directly overhead and vertical objects have no shadow.
"
1922,"[5/17/20, 3:13:52 PM] Joe: Hmm I don’t have a link in spanish but I have this Wikipedia link 
"
1923,"‎[5/17/20, 3:14:53 PM] Joe: ‎image omitted
"
1924,"[5/17/20, 3:16:28 PM] Joe: Basically it’s when you are at the “sub solar point” or the point directly under the sun. Hawaii is the only place on land that it happens in the US.
"
1925,"[5/17/20, 3:17:33 PM] Joe: Damn the clouds are going to ruin it 😡
"
1926,"‎[5/17/20, 3:22:17 PM] Joe: ‎image omitted
"
1927,"‎[5/17/20, 3:24:46 PM] Joe: ‎image omitted
"
1928,"[5/17/20, 4:22:18 PM] Joe: Haha alright send me today’s lesson
"
1929,"[5/17/20, 4:24:32 PM] Joe: You watched a video about it? 
"
1930,"[5/17/20, 4:30:03 PM] Joe: Hahah gracias!
"
1931,"[5/17/20, 4:30:13 PM] Joe: My own personal subtitles 😂
"
1932,"[5/17/20, 4:32:54 PM] Joe: Hahaha I really appreciate it. You’ve helped me improve a lot so that’s cool
"
1933,"‎[5/17/20, 4:33:07 PM] Joe: ‎GIF omitted
"
1934,"[5/17/20, 4:34:39 PM] Joe: Alright I’m going to read your subtitles a couple of times and then listen again and see how much more I can hear
"
1935,"‎[5/17/20, 4:42:17 PM] Joe: ‎GIF omitted
"
1936,"[5/17/20, 4:42:29 PM] Joe: Hahaha that’s gif is weird
"
1937,"[5/17/20, 4:44:55 PM] Joe: Oh from this morning? Hahaha
"
1938,"[5/17/20, 4:49:50 PM] Joe: Hahaha you would probably enjoy not being able to understand me. Just nod and go “mhmm” or “no” and see what happens 😂
"
1939,"[5/17/20, 4:52:08 PM] Joe: Hahahahaha naaaaaaah
"
1940,"‎[5/17/20, 4:53:02 PM] Joe: ‎GIF omitted
"
1941,"[5/17/20, 4:53:23 PM] Joe: Making me nervous
"
1942,"[5/17/20, 4:56:05 PM] Joe: Hahaha I don’t know how to play but I think it’s fine. I like the discomfort. It’s more from not being used to getting compliments and literally not knowing how to respond 😂
"
1943,"‎[5/17/20, 4:57:15 PM] Joe: ‎GIF omitted
"
1944,"[5/17/20, 5:00:15 PM] Joe: If I do it’s not in a bad way. Don’t second guess how you’re talking to me...I think everything you’ve said has been fine
"
1945,"[5/17/20, 5:01:39 PM] Joe: If there is something I don’t like I’ll let you know. It’s not a big deal. But like I said, so far so good
"
1946,"[5/17/20, 5:10:20 PM] Joe: Haha I don’t know what i would do 😂 
"
1947,"[5/17/20, 5:11:50 PM] Joe: So I would probably joke about whatever compliment you give me then compliment you I guess 🤔 
"
1948,"[5/17/20, 5:14:26 PM] Joe: Hahahaha fuck
"
1949,"[5/17/20, 5:14:39 PM] Joe: Well what do normal people do?? Am I weird for that?
"
1950,"[5/17/20, 5:18:49 PM] Joe: Haha alright if you say so. I’ll just keep being my weird self since it seems to be working fine
"
1951,"[5/17/20, 5:19:39 PM] Joe: I wish you could just have subtitles everywhere you went because I can understand you so much better with subtitles 😂 😂
"
1952,"[5/17/20, 5:24:26 PM] Joe: So you can meet me sooner and I’ll understand you. You would have a little screen that shows subtitles for everything you say and you bring it everywhere hahah 
"
1953,"[5/17/20, 5:25:40 PM] Joe: But I’m just kidding. I’m figuring this shit out. Going to be sooo good at spanish. Just give it time.
"
1954,"[5/17/20, 5:32:53 PM] Joe: Hahaha I’ll be ok with that 😂
"
1955,"[5/17/20, 5:34:59 PM] Joe: Mimes have excellent communication skills. Most communication is done with body language and nobody communicates with the body better than mimes haha
"
1956,"[5/17/20, 5:35:41 PM] Joe: Also, less of a chance for me to say something stupid that way 😆
"
1957,"[5/17/20, 5:40:58 PM] Joe: Oook talk to later. Buenas noches
"
1958,"‎[5/17/20, 5:41:15 PM] Joe: ‎GIF omitted
"
1959,"[5/18/20, 10:40:45 AM] Joe: Hahaha!
"
1960,"‎[5/18/20, 10:41:26 AM] Joe: ‎image omitted
"
1961,"[5/18/20, 10:57:48 AM] Joe: Hahaha whaaaat? I just got off the phone before I read this. I’ll ask tomorrow. I’ve never heard of this though 😂 
"
1962,"[5/18/20, 10:59:36 AM] Joe: Haha dammit I just listened to the audio too. I’ll say it tomorrow after you tell me what it means haha
"
1963,"[5/18/20, 11:02:18 AM] Joe: Aaah ok. Yeah she was saying not everyone uses the word tuco but she uses it a lot
"
1964,"[5/18/20, 11:04:13 AM] Joe: Sounds like something I could get into. I’m trying to attract money and good things haha
"
1965,"[5/18/20, 11:05:14 AM] Joe: Oh this is random but I got so bored yesterday I took a personality test hahaha 
"
1966,"‎[5/18/20, 11:09:17 AM] Joe: ‎audio omitted
"
1967,"[5/18/20, 11:11:08 AM] Joe: If it’s in English, there is a setting to change languages 
"
1968,"[5/18/20, 11:11:30 AM] Joe: If you get bored toy can take it and let me know how it goes haha
"
1969,"[5/18/20, 11:11:50 AM] Joe: You* can take it
"
1970,"[5/18/20, 11:14:58 AM] Joe: Hahaha fuck. More like I say them so badly that you can’t understand hahah shit
"
1971,"[5/18/20, 11:16:24 AM] Joe: Yeah. My brain was just working slow today. She would say a long sentence to me and my brain would stop listening halfway through cause I’m still translating the beginning in my head.
"
1972,"[5/18/20, 11:19:18 AM] Joe: Hahaha
"
1973,"‎[5/18/20, 11:20:34 AM] Joe: ‎audio omitted
"
1974,"‎[5/18/20, 11:21:12 AM] Joe: ‎audio omitted
"
1975,"[5/18/20, 11:22:15 AM] Joe: That’s hella sweet of you hahaha I appreciate it. Personal video lessons haha
"
1976,"[5/18/20, 11:23:33 AM] Joe: Hahahaha I said “I will use it, but not with my grandma” 😂 
"
1977,"‎[5/18/20, 11:24:25 AM] Joe: ‎audio omitted
"
1978,"‎[5/18/20, 11:25:57 AM] Joe: ‎audio omitted
"
1979,"[5/18/20, 11:27:02 AM] Joe: Not much. Today was bad haha. We just went over greeting in the morning and a pretend walk again.
"
1980,"[5/18/20, 11:29:29 AM] Joe: She was telling me a lot of learning strategies today. Like put stickers with the spanish word for the item on things around the house. She said watch tv and movies with spanish subtitles so I can see what they are saying and train my ear better even if I don’t necessarily understand
"
1981,"[5/18/20, 11:30:15 AM] Joe: Listen closely to the movies or shows and write down words I don’t understand and look them up in the dictionary
"
1982,"[5/18/20, 11:35:08 AM] Joe: Hahaha I’m going to tell her. I just don’t know when 😂 
"
1983,"[5/18/20, 11:35:16 AM] Joe: Even my family
"
1984,"[5/18/20, 11:37:34 AM] Joe: Haha I doubt you’re telling anyone about me 😂 
"
1985,"‎[5/18/20, 11:39:22 AM] Joe: ‎GIF omitted
"
1986,"[5/18/20, 11:40:26 AM] Joe: I’ve mentioned you to my two closest friends but that’s it haha.
"
1987,"[5/18/20, 11:41:02 AM] Joe: Their minds were blown. They couldn’t imagine it 😂
"
1988,"[5/18/20, 11:46:31 AM] Joe: Hahaha they wouldn’t talk you out of it?? You must not have told them enough about me yet 😂
"
1989,"[5/18/20, 11:50:18 AM] Joe: Mostly “Whaaaaat!? Hahaha, you’re always doing something hella cutty” which is kind of like saying that I’m always doing stuff without many knowing. And they talked about how I’m always doing the opposite of what they’re doing in life haha ever since high school
"
1990,"[5/18/20, 11:51:17 AM] Joe: But they were stoked on it. A little concerned that I might leave the Bay Area for good but they know wherever I go they’re welcome to visit so it’s bittersweet I guess
"
1991,"[5/18/20, 12:01:02 PM] Joe: Well when I first told them about you I said I was considering trying to see you. Maybe in Spain. They all traveled internationally without me a few years back. I was too busy working to go. Now it’s the opposite, I have time to travel and they’re all very busy. 
"
1992,"[5/18/20, 12:01:29 PM] Joe: Now I’m a mess and they’re all clean cut haha. I don’t know. I’m just always doing my own thing
"
1993,"[5/18/20, 12:04:01 PM] Joe: I must take some kind of pride in being “different” because I’ve always been this way haha.
"
1994,"[5/18/20, 12:04:08 PM] Joe: Basically Hahahaha
"
1995,"[5/18/20, 12:04:33 PM] Joe: I didn’t even notice until my friends pointed it out though
"
1996,"[5/18/20, 12:06:55 PM] Joe: For sure. Especially these dudes. I’ve been friends with them since I was 12 haha so they know me well and can tell me things I don’t notice about my own personality
"
1997,"‎[5/18/20, 12:10:13 PM] Joe: ‎video omitted
"
1998,"[5/18/20, 12:15:08 PM] Joe: Haha yeah but we’ll play later! The sound makes it better for sure
"
1999,"[5/18/20, 12:16:06 PM] Joe: The mini detail will make the project look much better in the eyes of a recruiter or potential client if I show it to them. It still feels unfinished to me. I’m working on adding the gifs next hahaha
"
2000,"[5/18/20, 12:16:08 PM] Joe: We need them
"
2001,"[5/18/20, 12:16:49 PM] Joe: I’m learning so much in quarantine 😂
"
2002,"[5/18/20, 12:31:16 PM] Joe: I’ll send you videos of boring California hahah. I’ll be back soon to send more though....or you can just come here 😂
"
2003,"‎[5/18/20, 12:32:00 PM] Joe: ‎video omitted
"
2004,"‎[5/18/20, 12:32:09 PM] Joe: ‎image omitted
"
2005,"[5/18/20, 12:32:38 PM] Joe: I’ll make sure you have a nice collection of photos and videos of Hawaii before I leave
"
2006,"[5/18/20, 12:32:58 PM] Joe: Ok. Back on the road. I won’t be long 😘
"
2007,"[5/18/20, 1:28:41 PM] Joe: Aaaah I just spent 25 minutes trying one trick hahaha.
"
2008,"[5/18/20, 1:28:53 PM] Joe: Didn’t get it 😞
"
2009,"‎[5/18/20, 1:45:29 PM] Joe: ‎video omitted
"
2010,"[5/18/20, 2:21:20 PM] Joe: Just letting you know I’m back from skating
"
2011,"‎[5/18/20, 2:40:10 PM] Joe: ‎video omitted
"
2012,"[5/18/20, 2:40:27 PM] Joe: 😂
"
2013,"[5/18/20, 2:52:07 PM] Joe: Haha i was fine. Just frustrated cause I was close to landing it. And I thought it would be easy when I started trying it.
"
2014,"[5/18/20, 2:59:43 PM] Joe: Hahaha yeah I guess I’m a little off today
"
2015,"‎[5/18/20, 3:00:33 PM] Joe: ‎GIF omitted
"
2016,"[5/18/20, 3:10:09 PM] Joe: Hahaha sheets 😂 
"
2017,"‎[5/18/20, 3:11:45 PM] Joe: ‎image omitted
"
2018,"[5/18/20, 3:12:30 PM] Joe: Nelly and Carlos(we call him Boom Boom hahaha)
"
2019,"[5/18/20, 3:24:30 PM] Joe: Yeah she is really trying to make me learn. I knew she would be excited about it when she found out haha
"
2020,"[5/18/20, 3:26:55 PM] Joe: I’m trying to get this gif thing working today so I don’t feel like I failed at everything. 
"
2021,"‎[5/18/20, 3:31:58 PM] Joe: ‎image omitted
"
2022,"‎[5/18/20, 3:41:19 PM] Joe: ‎GIF omitted
"
2023,"‎[5/18/20, 5:55:36 PM] Joe: ‎video omitted
"
2024,"[5/18/20, 8:18:56 PM] Joe: Hahaha oooh I wish. I’m up earlier than you most times so I’d rub your head all morning if you want 😂 
"
2025,"[5/18/20, 8:32:18 PM] Joe: Aw that sucks haha. I hope you have better dreams if you can get back to sleep 💤 🛏
"
2026,"[5/18/20, 10:59:56 PM] Joe: Haha you don’t know how much I would love to rub your head in the mornings 😂
"
2027,"‎[5/18/20, 11:01:16 PM] Joe: ‎video omitted
"
2028,"‎[5/18/20, 11:44:45 PM] Joe: ‎GIF omitted
"
2029,"[5/18/20, 11:45:21 PM] Joe: I’m going to right this down to use later haha
"
2030,"[5/18/20, 11:52:47 PM] Joe: I can still see it until I close the game on my end.
"
2031,"[5/18/20, 11:54:17 PM] Joe: Oh yeah making the little preview instead of the text showing up in the box took forever haha. Had to make the preview appear, then add a button to cancel if you don’t want to use the gif, and make sure if you choose another gif it replaces the current one and doesn’t add another preview
"
2032,"[5/18/20, 11:54:41 PM] Joe: It was a little complicated and frustrating but I got it. 1/3 today 😂
"
2033,"[5/18/20, 11:55:53 PM] Joe: Oh but if someone else joins they can’t see any chat that was written before they entered. Or if you rejoin, you won’t be able to see it. But it never gets deleted for anyone that stays in the game
"
2034,"[5/19/20, 12:00:33 AM] Joe: No cause I’m not in the room now. So if I join i see a blank chat. And actually the room will be deleted when the last player is gone
"
2035,"[5/19/20, 12:02:25 AM] Joe: Yeah it’ll be another thing to tack onto the resumé so that’s good. Plus it’ll make playing way more fun 😂
"
2036,"[5/19/20, 12:02:46 AM] Joe: I sent a video to my friends, they were stoked on the new feature
"
2037,"[5/19/20, 12:03:32 AM] Joe: But yeah it’s kind of crazy to think about how everything we use on the internet had to be made in a similar way. Just a bunch of code
"
2038,"[5/19/20, 12:05:53 AM] Joe: Haha ok
"
2039,"[5/19/20, 12:06:20 AM] Joe: Let’s play
"
2040,"[5/19/20, 12:06:26 AM] Joe: I want to try it
"
2041,"[5/19/20, 12:15:42 AM] Joe: Damn what happened? It’s stuck? Shit
"
2042,"[5/19/20, 12:15:56 AM] Joe: Hmmmmmm
"
2043,"[5/19/20, 12:16:30 AM] Joe: You just click anywhere that is not the box
"
2044,"‎[5/19/20, 12:16:49 AM] Joe: ‎video omitted
"
2045,"[5/19/20, 12:17:39 AM] Joe: Oh sweet
"
2046,"[5/19/20, 12:17:57 AM] Joe: I wonder why it didn’t work. I hope it doesn’t do that a lot to people haha
"
2047,"[5/19/20, 12:19:17 AM] Joe: I could probably do both. Alright...added to the list
"
2048,"[5/19/20, 12:23:13 AM] Joe: I don’t know hahah. You have access to GIPHY’s whole library of gifs. Probably the same that this app uses.
"
2049,"[5/19/20, 12:23:31 AM] Joe: Facebook just bought GIPHY this week and the own WhatsApp
"
2050,"[5/19/20, 12:24:57 AM] Joe: Hahaha i wonder what kind of gifs your mom likes? 😂 
"
2051,"[5/19/20, 12:28:35 AM] Joe: Hahaha that’s good. I need to teach my mom to use them. I’m interested to see what she would send.
"
2052,"[5/19/20, 12:36:56 AM] Joe: Hahahah “mister bean” “en google?” Hahaha
"
2053,"[5/19/20, 12:38:23 AM] Joe: You need to teach her how to find the hidden gems 💎 I’ve been getting good with the gifs from talking to you 😂
"
2054,"[5/19/20, 12:47:54 AM] Joe: Hahaha that’s good to know. I got points for the good gifs 😂 
"
2055,"[5/19/20, 12:53:30 AM] Joe: Haha hair and pants are looking wild. I love it 😂
"
2056,"[5/19/20, 1:18:20 AM] Joe: The skateboarding from earlier today wiped me out. I should’ve taken a nap.
"
2057,"[5/19/20, 1:18:36 AM] Joe: Don’t be surprised if i pass out out of nowhere today haha
"
2058,"[5/19/20, 1:18:43 AM] Joe: Mmmm
"
2059,"[5/19/20, 1:21:53 AM] Joe: Haha I like the look very much. Nice and comfortable
"
2060,"[5/19/20, 1:25:23 AM] Joe: Haha alright. Well I guess I’ll lay down. I’ll probably fall asleep instantly, I can feel it coming haha.
"
2061,"[5/19/20, 1:26:31 AM] Joe: Have a good day, I hope the course goes well for you! 
"
2062,"[5/19/20, 1:30:18 AM] Joe: Haha cool I’ll put it on
"
2063,"[5/19/20, 1:30:56 AM] Joe: That’s me. But I’m not like super smart or anything hahah. Sounds cool. I’ll watch it
"
2064,"[5/19/20, 1:35:23 AM] Joe: Same! I LOVE learning but college still was not the right choice for me and I’m glad i didn’t go. I would probably be in so much debt haha. Instead I have a nice little savings 👍
"
2065,"[5/19/20, 1:36:18 AM] Joe: So far it’s working out. I know a lot of people that went to college but aren’t using their degrees in the end. 
"
2066,"[5/19/20, 1:42:03 AM] Joe: It only cost this dude $5,000 to stay in Argentina for 4 months. I should do that hahah
"
2067,"[5/19/20, 1:46:12 AM] Joe: Yeah web development has many self taught people. It’s all about what you can do, so portfolios and projects are important. 
"
2068,"[5/19/20, 1:47:26 AM] Joe: Hmm well I’m pretty flexible on lifestyle haha I don’t need much. 
"
2069,"‎[5/19/20, 1:47:51 AM] Joe: ‎GIF omitted
"
2070,"[5/19/20, 1:50:59 AM] Joe: Hahah nice. That’s a good way to do it 😂
"
2071,"[5/19/20, 1:51:36 AM] Joe: I need to think about the destination? Cause I’m pretty sure it would just be wherever you are Hahahaha
"
2072,"[5/19/20, 1:57:14 AM] Joe: Hahah sure.
"
2073,"[5/19/20, 1:57:55 AM] Joe: Ok have a good day! 😘
"
2074,"‎[5/19/20, 11:03:18 AM] Joe: ‎GIF omitted
"
2075,"‎[5/19/20, 11:25:12 AM] Joe: ‎video omitted
"
2076,"[5/19/20, 11:27:43 AM] Joe: I’m late for my class hahaha
"
2077,"[5/19/20, 11:32:16 AM] Joe: Hahaha 😊
"
2078,"[5/19/20, 11:32:44 AM] Joe: Alright I’ll talk to you after the class 😘
"
2079,"[5/19/20, 12:30:20 PM] Joe: Ok all done. Today the main thing I learned it the importance of the apostrophe haha.
"
2080,"[5/19/20, 12:31:32 PM] Joe: Nelly told me about her friend that would get mad because people would write “Feliz ano nuevo” on Facebook without using the “ñ” hahaha
"
2081,"[5/19/20, 1:41:56 PM] Joe: No pasa nada haha
"
2082,"‎[5/19/20, 1:42:57 PM] Joe: ‎image omitted
"
2083,"‎[5/19/20, 1:45:22 PM] Joe: ‎audio omitted
"
2084,"[5/19/20, 1:46:11 PM] Joe: Sorry I y’all too quiet and the street is so loud haha
"
2085,"[5/19/20, 1:51:58 PM] Joe: Yeah I don’t post any selfies haha. This one won’t be posted either most likely haha. Just one for you
"
2086,"[5/19/20, 1:52:54 PM] Joe: Hahaha there is a name for the dudes like me with the gold chain and stuff out here. I forgot what it was though
"
2087,"[5/19/20, 1:57:33 PM] Joe: I’ll tell you what it is when I remember or I’ll ask my sister. I got this chain from Nelly probably 15 years ago. It has a pendant that is in the shape of Peru and says “PERU” across it. 
"
2088,"[5/19/20, 2:08:32 PM] Joe: Haha yeah she got it on a trip to Peru too so I really like it.
"
2089,"[5/19/20, 2:08:49 PM] Joe: I’m going to take a shower really quick and I’ll redo the audio 🚿
"
2090,"[5/19/20, 2:41:16 PM] Joe: Haha all the pictures of me at that age are mostly me in sports uniforms. Like baseball and soccer. The baseball ones are funny cause I wore a helmet that made my head look huge 😂
"
2091,"[5/19/20, 2:43:26 PM] Joe: ‎You deleted this message.
"
2092,"[5/19/20, 2:43:59 PM] Joe: Dammit I always start talking before it records
"
2093,"‎[5/19/20, 2:44:45 PM] Joe: ‎audio omitted
"
2094,"[5/19/20, 2:56:16 PM] Joe: See what?? The anticipation is killing me
"
2095,"[5/19/20, 2:56:46 PM] Joe: Woah hahaha
"
2096,"[5/19/20, 2:57:32 PM] Joe: What are the odds!? Hahaha wow that’s wild 😯
"
2097,"‎[5/19/20, 2:58:50 PM] Joe: ‎GIF omitted
"
2098,"[5/19/20, 3:09:48 PM] Joe: Haha I appreciate you sending the picture. I think it’s really interesting that you came across that. Life is so strange sometimes. Beautifully strange.
"
2099,"[5/19/20, 3:13:15 PM] Joe: Oh and I’ll send pictures of mini Joe when I get back to California but you’ll have to send me mini Lore pictures in return 😂
"
2100,"[5/19/20, 3:21:38 PM] Joe: 😂 😂 hahahah
"
2101,"[5/19/20, 3:22:01 PM] Joe: Gastón is out like a light hahaha
"
2102,"[5/19/20, 3:23:09 PM] Joe: Very colorful necklace. It shows your colorful personality haha
"
2103,"[5/19/20, 3:23:36 PM] Joe: Tiny Lore...big dog
"
2104,"[5/19/20, 3:24:32 PM] Joe: That’s definitely a 90s jacket hahaha great photos. I literally have zero with me or on my phone so you have to wait a few weeks to see mine
"
2105,"[5/19/20, 3:26:11 PM] Joe: Hahaa always with the love for dogs 🐕
"
2106,"[5/19/20, 3:36:57 PM] Joe: You’ll be disappointed with my pictures when I send them. I don’t think I have a lot of good ones. I’ll have to ask my parents to see if they’re hiding any.
"
2107,"[5/19/20, 3:38:48 PM] Joe: So, right now I’m using these things to try and hear words better....music you sent me, la casa de Papel, and I’m watching a bunch of “Casi Creativo” videos hahaha
"
2108,"[5/19/20, 3:43:35 PM] Joe: Haha what?
"
2109,"[5/19/20, 3:58:36 PM] Joe: Si, tengo Netflix
"
2110,"[5/19/20, 4:04:43 PM] Joe: Cool. Whenever you send a new artist I listen to a bunch of their music. I need to tune my ear haha. Thanks for the links
"
2111,"[5/19/20, 4:14:09 PM] Joe: Haha yeah I need to hear as much as I can
"
2112,"[5/19/20, 4:14:24 PM] Joe: 😊
"
2113,"[5/19/20, 4:15:26 PM] Joe: Haha nice I like that. Thank you thank you
"
2114,"[5/19/20, 4:31:21 PM] Joe: Hahah I’m sorry I’m in the store
"
2115,"[5/19/20, 4:32:09 PM] Joe: Yeah I’ll tell you my favorites haha. I’ll be done in the store in a minute
"
2116,"[5/19/20, 4:36:49 PM] Joe: Aaaaah whaaaaat? Haha I’m done now 😂
"
2117,"[5/19/20, 4:37:08 PM] Joe: But ok if you’re going to sleep that’s alright haha. I know it’s late there
"
2118,"[5/19/20, 4:38:39 PM] Joe: Dude I hella liked this seires. I only saw the first season but I think there’s more now? You like good shows thankfully haha
"
2119,"[5/19/20, 4:39:41 PM] Joe: Hah alright...buenas noches 😘
"
2120,"[5/19/20, 4:45:48 PM] Joe: Haha that’s ok. No worries.
"
2121,"[5/19/20, 4:46:53 PM] Joe: Haha it’s an interesting genre. The “bad guy” that you end up on their side
"
2122,"[5/19/20, 4:52:29 PM] Joe: Hah you’re so confusing today 😂 
"
2123,"‎[5/19/20, 4:52:50 PM] Joe: ‎GIF omitted
"
2124,"‎[5/19/20, 4:53:05 PM] Joe: ‎GIF omitted
"
2125,"[5/19/20, 4:56:31 PM] Joe: I can’t tell if you’re going to sleep or trying to talk to me hahaha
"
2126,"[5/19/20, 5:01:00 PM] Joe: Ooook talk to you later. Buenas noches 😘
"
2127,"[5/20/20, 5:24:17 AM] Joe: Oh no I missed a voice call?? I was sleeping 😞
"
2128,"‎[5/20/20, 5:26:25 AM] Joe: ‎image omitted
"
2129,"[5/20/20, 5:26:42 AM] Joe: Must’ve been an accident 🤷‍♂️
"
2130,"[5/20/20, 5:26:58 AM] Joe: Haha ok I go back to sleep now
"
2131,"‎[5/20/20, 5:27:15 AM] Joe: ‎GIF omitted
"
